,index,ID,Player,Team,Position,RkOv,Status,Opponent,FPts,FP/G,%D,ADP,Ros,G,VORP,VORPrk,Value
362,462,*066iy*,Kaelan Casey,WHU,D,465,FA,AVL Sat 12:30PM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,363,887.0
363,543,*044nm*,Rob Holding,CRY,D,540,FA,@BRF Sun 9:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,364,886.0
364,617,*06kum*,Wesley Okoduwa,WOL,D,614,FA,@ARS Sat 10:00AM,0.0,0.0,0%,1116.8,0%,,-126.14285714285714,365,751.8
365,561,*062cl*,Issa Kabore,MCI,D,555,W (Tue),@CHE Sun 11:30AM,0.0,0.0,1%,1117.0,1%,,-126.14285714285714,366,751.0
366,681,*05220*,Sepp van den Berg,LIV,D,697,FA,@IPS Sat 7:30AM,0.0,0.0,0%,1117.8,0%,,-126.14285714285714,367,750.8
367,547,*06ib4*,Justin Hubner,WOL,D,544,FA,@ARS Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,368,882.0
368,512,*06igq*,Benjamin Fredrick,BRF,D,509,FA,CRY Sun 9:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,369,881.0
369,641,*05ohc*,Sergio Reguilon,TOT,D,636,FA,@LEI Mon 3:00PM,0.0,0.0,24%,159.58,29%,,-126.14285714285714,370,-210.42
370,434,*05ogh*,Harrison Ashby,NEW,D,435,FA,SOU Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,371,879.0
371,612,*05qz9*,Ben Nelson,LEI,D,607,FA,TOT Mon 3:00PM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,372,878.0
372,458,*06idv*,Elijah Campbell,EVE,D,460,FA,BHA Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,373,877.0
373,544,*03v6s*,Mason Holgate,EVE,D,541,FA,BHA Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,374,876.0
374,490,*06onu*,Roman Dixon,EVE,D,490,W (Tue),BHA Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,375,875.0
375,558,*0570n*,Joao Cancelo,MCI,D,467,FA,@CHE Sun 11:30AM,0.0,0.0,5%,366.84,4%,,-126.14285714285714,376,-9.160000000000025
376,463,*06mgh*,Dylan Charlton,NEW,D,468,FA,SOU Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,377,873.0
377,542,*04yjx*,Ki-Jana Hoever,WOL,D,539,FA,@ARS Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,378,872.0
378,644,*062op*,Omar Richards,NOT,D,638,FA,BOU Sat 10:00AM,0.0,0.0,0%,1181.8,0%,,-126.14285714285714,379,802.8
379,525,*066rj*,Sean Grehan,CRY,D,522,FA,@BRF Sun 9:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,380,870.0
380,443,*0620j*,Armel Bella Kotchap,SOU,D,444,FA,@NEW Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,381,869.0
381,576,*06nvb*,Caleb Kporha,CRY,D,569,FA,@BRF Sun 9:00AM,0.0,0.0,0%,1181.4,0%,,-126.14285714285714,382,799.4000000000001
382,611,*06kyv*,Kosta Nedeljkovic,AVL,D,606,FA,@WHU Sat 12:30PM,0.0,0.0,1%,1065.88,1%,,-126.14285714285714,383,682.8800000000001
383,497,*06mfx*,George Edmundson,IPS,D,497,FA,LIV Sat 7:30AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,384,866.0
384,498,*06mp2*,Ronnie Edwards,SOU,D,498,FA,@NEW Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,385,865.0
385,671,*06onx*,Jean-Clair Todibo,WHU,D,666,W (Tue),AVL Sat 12:30PM,0.0,0.0,3%,337.28,3%,,-126.14285714285714,386,-48.72000000000003
386,450,*05r4h*,Lamare Bogarde,AVL,D,451,W (Tue),@WHU Sat 12:30PM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,387,863.0
387,480,*06ewn*,Luc De Fougerolles,FUL,D,482,FA,@MUN Fri 3:00PM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,388,862.0
388,691,*05oji*,Rhys Williams,LIV,D,686,FA,@IPS Sat 7:30AM,0.0,0.0,0%,1176.8,0%,,-126.14285714285714,389,787.8
389,677,*05x9j*,Ed Turns,BHA,D,673,FA,@EVE Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,390,860.0
390,442,*05uhi*,Owen Beck,LIV,D,443,FA,@IPS Sat 7:30AM,0.0,0.0,0%,1049.4,0%,,-126.14285714285714,391,658.4000000000001
391,568,*06igt*,Aaron Keto-Diyawa,WOL,D,561,FA,@ARS Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,392,858.0
392,492,*03ala*,Janoi Donacien,IPS,D,492,FA,LIV Sat 7:30AM,0.0,0.0,0%,1076.6,0%,,-126.14285714285714,393,683.5999999999999
393,632,*06exk*,Ashley Phillips,TOT,D,627,FA,@LEI Mon 3:00PM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,394,856.0
394,557,*06nva*,Mofe Jemide,CRY,D,554,FA,@BRF Sun 9:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,395,855.0
395,643,*06mnn*,Chadi Riad,CRY,D,637,FA,@BRF Sun 9:00AM,0.0,0.0,0%,1096.8,1%,,-126.14285714285714,396,700.8
396,572,*068z2*,Max Kinsey-Wellings,BOU,D,565,FA,@NOT Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,397,853.0
397,615,*05vyg*,Odeluga Offiah,BHA,D,612,FA,@EVE Sat 10:00AM,0.0,0.0,0%,1052.8,0%,,-126.14285714285714,398,654.8
398,666,*05r3z*,Sil Swinkels,AVL,D,661,W (Tue),@WHU Sat 12:30PM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,399,851.0
399,532,*04qr4*,Kortney Hause,AVL,D,529,FA,@WHU Sat 12:30PM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,400,850.0
400,667,*0372y*,Matt Targett,NEW,D,662,FA,SOU Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,401,849.0
401,580,*051kd*,Jamal Lewis,NEW,D,575,FA,SOU Sat 10:00AM,0.0,0.0,0%,1092.8,0%,,-126.14285714285714,402,690.8
402,668,*05m46*,Luke Thomas,LEI,D,663,FA,TOT Mon 3:00PM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,403,847.0
403,669,*06mgg*,Ciaran Thompson,NEW,D,664,FA,SOU Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,404,846.0
404,670,*05749*,Kieran Tierney,ARS,D,665,FA,WOL Sat 10:00AM,0.0,0.0,0%,1250.0,0%,,-126.14285714285714,405,845.0
